ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,All ages,Percentage of population in the age group 0-4,Percentage of population in the age group 5-9,Percentage of population in the age group 10-14,Percentage of population in the age group 15-19,Percentage of population in the age group 20-24,Percentage of population in the age group 25-29,Percentage of population in the age group 30-49,Percentage of population in the age group 50-59,Percentage of population in the age group 60-64,Percentage of population in the age group 65+,check_var
47,85.0,20.0,XXX,XX,XX,  Ward No-20 Total,16624,7.1,9.0,11.3,9.8,10.5,10.3,28.4,6.9,2.7,3.9,00111
47,85.0,25.0,XXX,XX,XX,  Ward No-25 Total,21274,8.2,9.0,9.9,9.2,10.8,10.6,28.8,6.9,2.5,4.2,00111
47,85.0,26.0,XXX,XX,XX,  Ward No-26 Total,21011,8.5,9.5,11.2,9.1,10.2,10.8,28.2,6.5,2.3,3.8,00111
47,94.0,XX.0,XXX,XX,XX,Terokhada Upazila Total,116709,11.1,14.4,12.3,7.9,7.9,8.4,22.9,6.6,3.1,5.4,00111
47,94.0,13.0,XXX,XX,XX,  Ajugara Union Total,14709,9.2,12.5,12.6,10.0,8.8,7.9,23.5,6.6,3.1,5.8,00111
47,94.0,27.0,XXX,XX,XX,Barasat Union Total,22099,11.2,14.4,12.6,7.8,7.4,7.9,22.8,6.7,3.4,5.9,00111
47,94.0,40.0,XXX,XX,XX,  Madhupur Union Total,20254,11.6,15.5,12.4,7.6,9.0,8.9,21.7,6.2,2.5,4.5,00111
47,94.0,54.0,XXX,XX,XX,  Sachiadah Union Total,17596,10.3,13.5,11.1,7.4,7.7,8.5,24.6,7.5,3.4,5.9,00111
47,94.0,67.0,XXX,XX,XX,  Sagladah Union Total,20126,11.9,14.7,12.6,8.0,7.3,8.0,21.7,6.6,3.6,5.4,00111
47,94.0,81.0,XXX,XX,XX,Terokhada Union Total,21925,11.7,15.0,12.5,7.3,7.6,8.9,23.2,6.0,2.8,5.1,00111
18,XX.0,XX.0,XXX,XX,XX,Chuadanga Zila Total,1129015,8.9,10.7,11.1,8.3,8.8,9.9,27.8,6.8,2.8,5.0,00111
18,7.0,XX.0,XXX,XX,XX,Alamdanga Upazila Total,345922,8.7,10.6,10.5,7.6,8.4,10.0,28.6,7.2,3.0,5.5,00111
