ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Households-Total,Households-General,Households-Institutional,Households-Others,Population-Both,Population-Male,Population-Female,Sex Ratio,check_var
18,55,04,XXX,XX,XX,  Ward No-04 Total,733,726,2,5,2848,1410,1438.0,98.0,00111
18,55,05,XXX,XX,XX,  Ward No-05 Total,743,743,0,0,2731,1284,1447.0,89.0,00111
18,55,06,XXX,XX,XX,  Ward No-06 Total,753,729,1,23,2472,1225,1247.0,98.0,00111
18,55,07,XXX,XX,XX,  Ward No-07 Total,667,666,0,1,2616,1295,1321.0,98.0,00111
18,55,08,XXX,XX,XX,  Ward No-08 Total,1169,1153,4,12,4475,2316,2159.0,107.0,00111
18,55,09,XXX,XX,XX,  Ward No-09 Total,848,846,0,2,3237,1659,1578.0,105.0,00111
18,55,19,XXX,XX,XX,  Andulbaria Union Total,6667,6660,1,6,27397,13622,13775.0,99.0,00111
18,55,38,XXX,XX,XX,Banka Union Total,11772,11763,4,5,48391,24182,24209.0,100.0,00111
18,55,57,XXX,XX,XX,  Simanta Union Total,7203,7199,2,2,29268,14837,14431.0,103.0,00111
18,55,76,XXX,XX,XX,Uthali Union Total,11844,11836,4,4,49007,24428,24579.0,99.0,00111
65,28,01,XXX,XX,XX,  Ward No-01 Total,492,492,0,0,1906,929,977.0,95.0,00111
65,28,02,XXX,XX,XX,  Ward No-02 Total,738,736,2,0,3020,1585,1435.0,110.0,00111
65,28,03,XXX,XX,XX,  Ward No-03 Total,516,514,1,1,2267,1145,1122.0,102.0,00111
65,28,04,XXX,XX,XX,  Ward No-04 Total,435,435,0,0,1842,939,903.0,104.0,00111
65,28,05,XXX,XX,XX,  Ward No-05 Total,434,434,0,0,2077,1062,1015.0,105.0,00111
65,28,06,XXX,XX,XX,  Ward No-06 Total,424,424,0,0,1859,916,943.0,97.0,00111
65,28,07,XXX,XX,XX,  Ward No-07 Total,416,416,0,0,1962,986,976.0,101.0,00111
65,28,08,XXX,XX,XX,  Ward No-08 Total,519,519,0,0,2329,1158,1171.0,99.0,00111
65,28,09,XXX,XX,XX,  Ward No-09 Total,511,511,0,0,2416,1180,1236.0,95.0,00111
65,28,13,XXX,XX,XX,  Babra Hachla Union Total,2506,2503,1,2,10329,5206,5123.0,102.0,00111
65,28,14,XXX,XX,XX,Boranal Eliasabad Union Total,1489,1482,2,5,6381,3233,3148.0,103.0,00111
65,28,15,XXX,XX,XX,  Bauisena Union Total,4234,4214,0,20,18961,9339,9622.0,97.0,00111
65,28,23,XXX,XX,XX,  Hamidpur Union Total,3317,3308,0,9,15074,7545,7529.0,100.0,00111
