ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 7+ and not attending school-Both,Population aged 7+ and not attending school-Male,Population aged 7+ and not attending school-Female,Employment Status-Employed-Male,Employment Status-Employed-Female,Employment Status-Looking for work-Male,Employment Status-Looking for work-Female,Employment Status-Household work-Male,Employment Status-Household work-Female,Employment Status-Do not work-Male,Employment Status-Do not work-Female,check_var
10,88,77,XXX,XX,01,  Shah-Bandegi Union,9845,4507,5338,3957,291,8,7,22,4267.0,520,773,00110
88,27,27,XXX,XX,01,  Khas Kaulia Union,1301,563,738,500,40,6,1,2,627.0,55,70,00110
88,27,47,XXX,XX,01,  Sadia Chandpur Union,6342,3093,3249,2676,130,12,3,15,2673.0,390,443,00110
88,44,38,XXX,XX,01,  Jamtail Union,9341,4234,5107,3605,92,12,5,41,4420.0,576,590,00110
88,50,25,XXX,XX,01,  Gandail Union,9980,4289,5691,3710,204,15,6,24,4660.0,540,821,00110
88,50,77,XXX,XX,01,  Sonamukhi Union,14694,6683,8011,5882,267,10,13,87,6916.0,704,815,00110
88,61,38,XXX,XX,01,  Dhangara Union,11843,5706,6137,5025,181,22,4,34,5456.0,625,496,00110
88,67,14,XXX,XX,01,  Gala Union,13390,6080,7310,4931,134,17,18,39,5844.0,1093,1314,00110
88,78,16,XXX,XX,01,  Baghbati Union,16068,7763,8305,6787,205,41,12,120,6971.0,815,1117,00110
88,89,84,XXX,XX,01,  Tarash Union,6226,2757,3469,2379,85,17,9,29,2961.0,332,414,00110
81,12,50,XXX,XX,01,  Ganipur Union,11683,4889,6794,4278,121,86,9,65,5922.0,460,742,00110
81,31,11,XXX,XX,01,  Deluabari Union,7981,3507,4474,3225,130,14,5,22,3989.0,246,350,00110
81,34,57,XXX,XX,01,  Matikata Union,10972,5365,5607,4398,138,14,17,99,4439.0,854,1013,00110
81,53,13,XXX,XX,01,  Bakshimail Union,4583,1918,2665,1686,56,7,5,9,2144.0,216,460,00110
81,53,81,XXX,XX,01,  Royghati Union,3752,1556,2196,1305,91,16,7,10,1750.0,225,348,00110
81,82,13,XXX,XX,01,  Baneshwar Union,9860,4608,5252,4148,111,9,7,28,4519.0,423,615,00110
81,82,81,XXX,XX,01,  Silmaria Union,11934,5283,6651,4710,157,11,4,144,5827.0,418,663,00110
64,03,10,XXX,XX,01,  Ahsanganj Union,7878,3483,4395,3153,210,5,13,48,3719.0,277,453,00110
64,03,21,XXX,XX,01,  Bhopara Union,7163,3142,4021,2884,76,9,2,39,3611.0,210,332,00110
64,03,73,XXX,XX,01,  Panchupur Union,8103,3544,4559,3185,113,12,5,30,3948.0,317,493,00110
64,06,21,XXX,XX,01,  Badalgachhi Union,6815,3141,3674,2802,158,14,7,32,2976.0,293,533,00110
64,28,63,XXX,XX,01,  Jahanpur Union,8324,4044,4280,3579,140,14,14,30,3636.0,421,490,00110
64,47,54,XXX,XX,01,  Kusumba Union,10089,4304,5785,3837,292,11,11,30,4773.0,426,709,00110
64,47,67,XXX,XX,01,  Manda Union,9516,4108,5408,3490,224,17,6,164,4652.0,437,526,00110
64,47,88,XXX,XX,01,  Prasadpur Union,7831,3221,4610,2844,215,7,15,86,3906.0,284,474,00110
64,50,57,XXX,XX,01,  Khajur Union,8479,3902,4577,3515,129,12,2,31,3963.0,344,483,00110
64,50,66,XXX,XX,01,  Mahadebpur Union,8579,3962,4617,3644,314,6,5,22,3738.0,290,560,00110
64,69,52,XXX,XX,01,  Niamatpur Union,6847,3083,3764,2682,272,8,5,21,2912.0,372,575,00110
64,79,55,XXX,XX,01,  Nithpur Union,7999,4224,3775,3537,81,6,1,48,3256.0,633,437,00110
64,85,84,XXX,XX,01,  Raninagar Union,5680,2515,3165,2170,91,22,7,10,2619.0,313,448,00110
64,86,71,XXX,XX,01,  Sapahar Union,4285,1975,2310,1728,117,11,4,7,1925.0,229,264,00110
64,86,79,XXX,XX,01,  Shiranti Union,9018,4531,4487,3989,101,30,8,174,4056.0,338,322,00110
70,18,18,XXX,XX,01,  Bholahat Union,4572,2504,2068,2005,72,8,10,13,1647.0,478,339,00110
70,37,42,XXX,XX,01,  Chowdala Union,8762,4499,4263,3858,152,17,2,47,3564.0,577,545,00110
70,37,52,XXX,XX,01,  Gomastapur Union,10601,5413,5188,4843,192,15,7,19,4457.0,536,532,00110
70,88,41,XXX,XX,01,  Kansat Union,10920,5632,5288,4774,160,21,9,44,4382.0,793,737,00110
