ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total Population,Type of disability (%)-All,Type of disability (%)-Speech,Type of disability (%)-Vision,Type of disability (%)-Hearing,Type of disability (%)-Physical,Type of disability (%)-Mental,Type of disability (%)-Autism
18,07,07,-9,-9,-9,  Ward No-07 Total,3185,1.2,0.3,0.1,0.2,0.5,0.2,0.0
18,07,08,-9,-9,-9,  Ward No-08 Total,2536,3.7,0.3,1.8,0.3,0.9,0.4,0.0
18,07,09,-9,-9,-9,  Ward No-09 Total,2802,1.1,0.2,0.1,0.0,0.3,0.5,0.1
18,07,13,-9,-9,-9,  Belgachhi Union Total,14426,1.6,0.2,0.3,0.2,0.7,0.1,0.1
18,07,15,-9,-9,-9,Baradi Union Total,19583,1.4,0.2,0.2,0.1,0.5,0.2,0.2
18,07,15,-9,-9,1,  Baradi Union,18477,1.4,0.2,0.2,0.2,0.5,0.2,0.2
18,07,15,-9,-9,3,  Baradi Union,1106,0.5,0.2,0.1,0.0,0.2,0.0,0.0
18,07,23,-9,-9,-9,Bhangabaria Union Total,27714,1.4,0.2,0.2,0.1,0.6,0.2,0.1
18,07,23,-9,-9,1,  Bhangabaria Union,23835,1.4,0.2,0.2,0.1,0.6,0.2,0.1
18,07,23,-9,-9,3,  Bhangabaria Union,3879,1.0,0.2,0.2,0.1,0.3,0.1,0.1
18,07,27,-9,-9,-9,Chithla Union Total,22613,0.9,0.2,0.1,0.1,0.4,0.1,0.0
18,07,27,-9,-9,1,  Chithla Union,18891,0.9,0.2,0.1,0.1,0.4,0.1,0.0
18,07,27,-9,-9,3,  Chithla Union,3722,1.0,0.0,0.2,0.1,0.5,0.2,0.0
18,07,31,-9,-9,-9,  Dauki Union Total,18731,1.8,0.2,0.3,0.1,0.9,0.2,0.0
18,07,39,-9,-9,-9,  Gangni Union Total,24042,1.2,0.2,0.1,0.1,0.5,0.2,0.1
18,07,47,-9,-9,-9,Hardi Union Total,29542,1.9,0.3,0.3,0.2,0.7,0.3,0.1
18,07,47,-9,-9,1,  Hardi Union,17097,1.9,0.2,0.4,0.3,0.7,0.2,0.1
