DistrictCode,DistrictName,DivisionCode,DivisionName,FuzzRatio,Geo,Survey.Units,BCG_Children12M,DPT1_Children12M,DPT2_Children12M,DPT3_Children12M,OPV1_Children12M,OPV2_Children12M,OPV3_Children12M,Measles_Children12M,Fully_Children12M,TT1_Woman15-49Y,TT2_Woman15-49Y,TT3_Woman15-49Y,TT4_Woman15-49Y,TT5_Woman15-49Y,TT1_Woman18-25Y,TT2_Woman18-25Y,TT3_Woman18-25Y,TT4_Woman18-25Y,TT5_Woman18-25Y,MeaslesCoverage_Children9M-9Y,OPVCoverage_1stRound_Children59M,OPVCoverage_2stRound_Children59M,OPVCoverage_3stRound_Children59M,OPVCoverage_All_Children59M,VitACoverage_PostPartum,VitACoverage_Children12-59M,VitACoverage_Infants9-11M,AnthelminticCoverage_Children24-59M,Year
75,Noakhali ,20,Chittagong,94,Noakhali,Noakhali,91.9,91.1,87.1,68.9,91.1,87.9,81.3,56.7,48.3,93.3,91.0,70.5,41.0,21.9,90.0,85.2,57.6,27.1,11.0,81.9,89.0,88.1,86.2,77.6,13.8,85.3,85.3,79.6,2006
76,Pabna ,50,Rajshahi,91,Pabna,Pabna,99.0,99.0,96.7,86.2,99.0,96.7,95.0,85.5,78.4,99.0,97.6,80.5,52.9,24.8,95.7,93.3,72.9,42.4,20.0,91.9,100.0,98.6,96.7,96.2,26.7,93.8,64.0,92.7,2006
77,Panchagarh ,55,Rangpur,95,Panchagarh,Panchagarh,98.6,97.9,97.4,89.9,97.9,98.1,96.2,84.0,78.9,96.7,90.0,70.5,35.2,12.4,91.9,85.7,61.0,26.2,12.4,95.7,98.6,98.1,97.1,95.7,25.2,97.5,69.1,,2006
78,Patuakhali ,10,Barisal,95,Patuakhali,Patuakhali,98.6,98.1,96.4,86.4,98.1,96.4,95.7,78.8,72.3,94.8,93.8,62.4,28.1,11.9,91.9,81.4,53.3,20.0,8.6,97.1,99.0,97.1,99.5,97.1,60.5,98.5,98.5,98.9,2006
79,Pirojpur ,10,Barisal,94,Pirojpur,Pirojpur,98.1,98.1,97.1,88.7,98.1,97.1,95.6,82.1,78.0,95.2,93.3,71.4,41.0,21.9,82.9,76.2,57.6,28.1,10.0,91.9,98.1,99.0,99.0,97.6,33.3,99.0,99.0,98.9,2006
82,Rajbari ,30,Dhaka,93,Rajbari,Rajbari,100.0,98.1,98.1,88.6,98.1,98.1,93.4,80.7,76.2,98.1,96.7,77.1,44.3,16.7,88.1,84.3,55.2,27.6,11.4,91.4,99.0,98.1,98.1,97.1,23.8,95.6,69.7,90.4,2006
81,Rajshahi ,50,Rajshahi,94,Rajshahi,Rajshahi,99.5,98.9,97.6,86.3,98.9,97.6,93.5,78.2,73.1,97.6,93.3,74.3,43.8,17.1,93.8,86.7,63.3,35.2,20.0,69.0,97.1,96.2,94.3,90.5,22.4,90.7,74.9,,2006
81,Rajshahi ,50,Rajshahi,90,Rajshahi CC,Rajshahi CC,100.0,100.0,99.0,88.2,100.0,99.0,96.7,83.8,78.1,99.0,97.6,82.9,58.1,34.3,96.2,90.0,75.2,51.9,26.7,88.1,100.0,99.5,99.5,99.0,42.4,95.9,82.1,,2006
81,Rajshahi ,50,Rajshahi,69,Rajshahi Division,Rajshahi Division,99.3,98.4,96.9,85.3,98.4,97.2,93.7,79.5,72.6,96.7,93.4,71.2,41.0,18.5,93.5,88.7,65.2,37.3,17.5,89.3,97.4,96.3,96.1,92.2,28.8,93.5,73.2,87.2,2006
84,Rangamati ,20,Chittagong,95,Rangamati,Rangamati,91.9,90.6,86.5,71.3,90.6,86.5,79.8,65.3,60.5,87.1,82.4,55.7,28.6,12.4,81.0,72.9,50.0,23.3,11.9,68.1,95.2,89.0,82.9,76.7,35.2,82.0,82.0,77.7,2006
