thana_Name,Shukhi,Apon,Condom,Inj_Vial,Inj_Siringe,IUD_Normal,IUD_Partum,IUD_Remove,Implanon,Jadel,Implant_Remove,ECP,Misoprostol,MRM_Pack,Inj_mgs4,MNP_Saset,IFA_number,Sanitary_Pad,NSV,Tubectomy_Normal,Tubectomy_Partum,Year,Month,District,Division,program
Panchlaish,1213481,2872,5867004,467288,193998,7093,59,560,8751,289,1337,8545,20,0,0,0,0,0,9330,633,620,2018,12,0507,05,distributionNGO_thanaconsuprocess
Rangunia,788793,0,1360870,38117,17542,194,0,18,504,8,17,327,0,0,0,0,0,0,84,150,0,2018,12,0507,05,distributionNGO_thanaconsuprocess
Doublemooring,1787330,0,8440264,686061,305985,4025,159,710,11669,516,3182,4915,0,0,0,0,0,0,11390,1420,948,2018,12,0507,05,distributionNGO_thanaconsuprocess
Fatichhari,496846,256,1366089,76400,34759,156,0,1,48,0,0,752,0,0,0,0,0,0,49,79,0,2018,12,0507,05,distributionNGO_thanaconsuprocess
Hathazari,16026,338,54854,4423,3666,256,0,0,35,0,0,6,0,0,0,0,0,0,251,55,11,2018,12,0507,05,distributionNGO_thanaconsuprocess
Sitakunda,729017,0,1406916,80712,37776,971,1,10,226,0,0,459,283,0,0,0,0,0,113,156,0,2018,12,0507,05,distributionNGO_thanaconsuprocess
Mirsharai,74813,0,85502,4382,4076,0,0,0,0,0,0,0,58,0,0,0,0,0,22,0,0,2018,12,0507,05,distributionNGO_thanaconsuprocess
Rawzan,577333,514,1750192,49201,12510,1116,0,19,2,0,0,814,0,0,0,0,0,0,116,251,0,2018,12,0507,05,distributionNGO_thanaconsuprocess
Sandwip,469443,356,617741,58057,31360,117,0,3,24,0,0,126,612,0,0,0,0,0,20,14,0,2018,12,0507,05,distributionNGO_thanaconsuprocess
Boalkhali,955,26,3320,703,703,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,2018,12,0507,05,distributionNGO_thanaconsuprocess
Chandlaish,371256,692,336856,31336,16779,514,2,0,195,0,0,149,1510,0,0,0,45,0,234,88,0,2018,12,0507,05,distributionNGO_thanaconsuprocess
Banshkhali,599914,788,884738,82437,44265,183,3,7,80,1,0,22,14,0,0,0,154,0,104,117,0,2018,12,0507,05,distributionNGO_thanaconsuprocess
Satkania,456147,0,480489,51866,22741,282,2,9,428,0,2,165,4,0,0,0,0,0,62,112,0,2018,12,0507,05,distributionNGO_thanaconsuprocess
Anwara,553060,0,436521,37355,17091,172,63,3,317,0,7,245,0,0,0,0,0,0,101,120,0,2018,12,0507,05,distributionNGO_thanaconsuprocess
Patiya,643739,310,467486,50768,25712,397,354,31,2441,0,175,628,70,0,0,0,0,0,76,71,0,2018,12,0507,05,distributionNGO_thanaconsuprocess
Lohagora,354582,60,466084,55910,27506,156,2,4,269,0,0,23,288,0,0,0,0,0,18,53,3,2018,12,0507,05,distributionNGO_thanaconsuprocess
Sreepur,253644,0,2073106,81463,36549,370,1,22,335,0,5,724,266,0,0,0,105,37,12,72,3,2018,12,0407,04,distributionNGO_thanaconsuprocess
Gazipur Sadar,1545389,964,4287585,188635,105288,3489,41,168,2899,0,252,828,1848,0,0,0,0,0,84,224,67,2018,12,0407,04,distributionNGO_thanaconsuprocess
Kaliganj,202098,0,631343,15089,9420,982,2,84,169,13,7,43,0,0,0,0,0,0,0,7,3,2018,12,0407,04,distributionNGO_thanaconsuprocess
