
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
      0559   41    90     08      1     236           974
      0560   41    90     60      1     214           919
      0561   44    14     31      1     249          1017
      0562   44    19     15      1     225          1124
      0563   44    19     58      1     219           887
      0564   44    33     10      1     211           998
      0565   44    33     88      1     225           987
      0566   44    71     10      1     218           996
      0567   44    71     53      1     265          1136
      0568   44    80     18      1     230          1111
      0569   44    80     63      1     202           816
      0570   55    57     27      1     219          1095
      0571   55    57     67      1     259          1264
      0572   55    66     10      1     219          1030
      0573   55    66     42      1     217          1245
      0574   55    66     84      1     242          1130
      0575   55    85     71      1     249          1246
      0576   55    95     21      1     238          1105
      0577   55    95     73      1     210          1122
      0578   65    28     39      1     240          1263
      0579   65    28     87      1     229          1176
      0580   65    52     15      1     273          1448
      0581   65    52     47      1     227          1036
      0582   65    52     87      1     234          1148
      0583   65    76     20      1     213          1067
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
     -----  ----  -----  -----   ---   ------    ---------
      0584   65    76     54      1     253          1202
      0585   65    76     94      1     206          1008
      0586   01    08     34      1     213          1011
      0587   01    14     15      1     204           999
      0588   01    34     31      1     245          1022
      0589   01    38     76      1     223          1029
      0590   01    58     29      1     234           964
      0591   01    60     41      1     199           853
      0592   01    60     89      1     207           906
      0593   01    73     94      1     208           921
      0594   47    12     47      1     222           966
      0595   47    17     31      1     247          1014
      0596   47    30     20      1     206           949
      0597   47    30     74      1     204           983
      0598   47    53     22      1     230          1101
      0599   47    64     16      1     227          1137
      0600   47    64     67      1     209           999
      0601   47    94     27      1     199          1012
      0602   87    04     25      1     190           882
      0603   87    04     94      1     208           940
      0604   87    43     15      1     213           981
      0605   87    43     94      1     181           771
      0606   87    47     71      1     207           899
      0607   87    82     33      1     212           909
      0608   87    82     74      1     221           965
      0609   87    86     39      1     207          1093
      0610   87    90     07      1     238           951
      0611   87    90     63      1     215          1003
      0612   18    07     23      1     201           707
      0613   18    07     63      1     213           909
      0614   18    07     94      1     206           677
      0615   18    23     47      1     224           882
      0616   18    23     83      1     194           836
      0617   18    31     47      1     223          1037
      0618   18    31     83      1     208           947
      0619   18    55     57      1     229           958
      0620   50    15     40      1     193           857
      0621   50    39     20      1     241           950
      0622   50    39     54      1     262          1185
      0623   50    39     88      1     216           993
      0624   50    71     16      1     238          1082
      0625   50    71     69      1     219           973
      0626   50    79     18      1     187           734
      0627   50    79     50      1     174           942
      0628   50    94     13      1     177           829
      0629   50    94     65      1     180           664
      0630   57    47     21      1     202           671
      0631   57    47     52      1     242           833
      0632   57    47     73      1     208           806
      0633   57    47     94      1     209           760
      0634   57    60     47      1     193           790
      0635   57    87     19      1     217           877
      0636   57    87     38      1     240           996
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
     -----  ----  -----  -----   ---   ------    ---------
      0637   57    87     95      1     236          1054
      0638   41    04     01      2     205           807
      0639   41    04     05      2     232          1094
      0640   41    23     01      2     221           988
      0641   41    47     01      2     239          1187
      0642   41    47     03      2     191           759
      0643   41    47     05      2     217           944
      0644   41    47     07      2     225           966
      0645   41    47     09      2     252          1122
      0646   44    19     01      2     199           866
      0647   44    19     05      2     207           884
      0648   44    19     08      2     232          1001
      0649   44    33     06      2     211           891
      0650   44    42     06      2     239          1140
      0651   44    71     09      2     238           976
      0652   55    57     02      2     219          1075
      0653   55    57     05      2     237          1069
      0654   55    57     04      2     222           935
      0655   55    57     15      2     233          1133
      0656   65    28     02      2     192           762
      0657   65    76     01      2     223          1063
      0658   65    76     04      2     247           985
      0659   65    76     07      2     220          1015
      0660   01    08     01      2     199           745
      0661   01    08     06      2     210           935
      0662   01    58     01      2     168           761
      0663   01    58     05      2     173           768
      0664   01    58     09      2     131           543
      0665   87    43     02      2     239          1022
      0666   87    82     01      2     212           912
      0667   87    82     04      2     201           858
      0668   87    82     07      2     226          1075
      0669   18    07     02      2     214           761
      0670   18    23     01      2     198           849
      0671   18    23     05      2     181           778
      0672   18    23     09      2     205           797
      0673   18    31     09      2     234           991
      0674   50    15     03      2     186           931
      0675   50    71     07      2     198           907
      0676   50    79     04      2     191           769
      0677   50    79     08      2     235          1126
      0678   50    79     12      2     197           907
      0679   57    87     01      2     224          1104
      0680   57    87     04      2     257          1074
      0681   57    87     06      2     230          1064
      0682   57    87     08      2     214           986
